observations,centile,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0,0.05,1219.2097886931053,2672.4997438801765,1340.8821296942442,447515.6829745994
0,0.25,1591.8896626913993,5194.973423906281,1541.6991565205208,481279.1919838349
0,0.5,1881.8148087585873,6753.471463589238,1658.430924688613,503215.5749772438
0,0.75,2225.7439449389694,8382.35056949117,1770.2892849002583,526842.8457554984
0,0.95,2871.666536579978,11460.880648429502,1958.0705845834398,568540.8029012642
1,0.05,1268.8456057511576,2260.427304331407,1319.2986743719607,465222.72910511144
1,0.25,1599.7267206461966,4712.617445217262,1526.8078326347938,496640.88957390346
1,0.5,1854.888508412058,6194.872726592272,1646.307151828496,519101.2696898694
1,0.75,2150.47816585329,7666.052918335797,1759.1868151991548,544871.1360384926
1,0.95,2684.9599999056018,10197.351758589113,1945.7842014120804,591418.4859723687
10,0.05,1312.0352508655342,1800.3300791085894,1273.7728168924689,473924.19550758804
10,0.25,1627.7544676327136,4279.615952933091,1492.8690301023698,504932.83370757726
10,0.5,1872.0252086774804,5753.183892473991,1617.23716124269,528253.063708055
10,0.75,2153.5472486273525,7167.7054014879,1731.1772666031745,555635.7194430442
10,0.95,2656.512409815956,9458.468563272556,1911.2751962410898,605245.4938597016
100,0.05,-156.25366064883156,3312.352851171243,1535.9207259170435,451593.4703641857
100,0.25,479.7017605841694,5816.412846190805,1700.5379430916882,485067.4550340014
100,0.5,819.5317108788898,7439.372328378148,1813.7635468197598,507295.40874332434
100,0.75,1112.3540367941625,9262.574136158473,1946.2322048225342,531723.6485117936
100,0.95,1510.9367241741563,13054.73663194964,2207.239346376724,575365.1929373353
1001,0.05,86.87373264203325,976.6845467239909,989.5779914134849,384677.7928457942
1001,0.25,647.5192201313369,3933.7568718173384,1265.7038180657441,430908.7755245167
1001,0.5,956.7000952827723,5628.8810928302155,1421.3403947798465,457226.66559786943
1001,0.75,1233.6553460563773,7233.057788435681,1552.491720933787,480323.7013825287
1001,0.95,1631.8076915782299,9905.884042316824,1715.6149775060233,512401.5186159827
1002,0.05,301.64176455681354,2388.1297650123333,1318.4914351426555,449391.72507383244
1002,0.25,800.5174332943077,5017.266768194518,1523.001550334031,483015.0386204577
1002,0.5,1086.359568279067,6616.860643660229,1640.9457936864183,505075.04860375536
1002,0.75,1353.5367352134158,8268.40726564288,1751.800602392781,529058.3702962135
1002,0.95,1758.6004077565235,11373.0536321545,1932.429109332208,571634.6855521523
1004,0.05,299.7239265922377,2326.743809041848,1325.5232896295424,445642.45516000915
1004,0.25,813.3257840605902,5008.445122213428,1527.8263902866834,479917.2144193757
1004,0.5,1106.702840931627,6635.279415863387,1644.8281358613356,502002.6833942642
1004,0.75,1382.2964380062076,8319.130376032988,1755.2796243774978,525658.4271073453
1004,0.95,1806.5076612091575,11518.228574111588,1936.141811519115,567343.7926711723
1005,0.05,85.85350709193654,887.5036076892111,999.6339473919112,379621.4666557316
1005,0.25,662.6446650414271,3910.4019490564338,1272.777795710297,427072.1386648635
1005,0.5,979.2202815833964,5635.890429991294,1426.7735152254863,454038.4263860927
1005,0.75,1263.7681369103666,7268.405714176379,1556.6956237878776,477530.51520621666
1005,0.95,1678.9094905520135,10009.497020235827,1718.885304635611,509612.02617314516
1006,0.05,299.57409550130967,2283.8384414643806,1329.385544111697,443869.07928357885
1006,0.25,820.5703024533129,4994.989060090051,1530.5335003665407,478475.8527300471
1006,0.5,1117.7816518747659,6636.201186518985,1647.0501998981051,500595.9027753451
1006,0.75,1397.8183871155104,8335.703488254569,1757.320639591007,524121.1972136484
1006,0.95,1832.494483714409,11578.968501835197,1938.4152839885853,565419.9247114819
1007,0.05,86.70419403010305,639.934148018594,1021.048877377962,370583.7781930033
1007,0.25,697.1012371020857,3819.125510342758,1288.237837056668,420303.8367749765
1007,0.5,1029.1619536023238,5614.303353989944,1438.9196844997446,448500.9654297868
1007,0.75,1330.6576592878548,7306.97704343534,1566.3668313332234,472799.2335258594
1007,0.95,1786.5189640697413,10183.862204935302,1726.837723570013,505096.56622403266
1008,0.05,631.0034265507394,962.314052593918,995.3341236142531,325469.0554563418
1008,0.25,1199.9352850816358,4361.030828771713,1265.9722307422585,385932.4997767895
1008,0.5,1566.5638415229932,6289.421948322778,1419.0644168077965,420412.2793203369
1008,0.75,1986.9823478433118,8223.787687063572,1548.417945977129,449440.86063068
1008,0.95,2835.8846579077917,12043.745487151786,1709.1409202485547,484571.75001952023
1009,0.05,659.7850003427924,1324.2099767218915,948.6071433963042,352141.37662848487
1009,0.25,1114.1502995416467,4288.429700572367,1233.6491965750217,405666.6189217262
1009,0.5,1401.4578937909175,6004.114830194824,1394.646760557889,436116.48607084656
1009,0.75,1703.422475402785,7677.5521160267845,1529.9902784681778,462015.3872326693
1009,0.95,2233.2449031025476,10647.416639006577,1695.6721862772959,494750.36389640963
101,0.05,-391.53065887356615,2059.508211641033,1261.7237390274463,409738.02262785076
101,0.25,248.65931837519543,4656.147237105289,1480.664227657913,450320.6421947422
101,0.5,593.087468415874,6210.301945250966,1604.8751069650602,473890.41112718545
101,0.75,882.8642663290414,7754.844105152889,1717.5417934476843,495754.7021216222
101,0.95,1248.2060732456803,10466.33162457348,1891.3207094750453,529256.0547310857
1010,0.05,656.330199108121,863.0396020890712,992.3649679927936,333044.14234928566
