centile,observations,response_var_0,response_var_1
0.05,1,2.4715892834604376,873.8342871492666
0.05,4,2.4912567056476553,1121.0227767902197
0.05,7,2.334873169875671,809.3642431596297
0.05,8,2.3397939125533602,1750.9492875041383
0.05,11,2.3565094581227353,836.2327256295412
0.05,14,2.4356468379217615,1071.1545420977066
0.05,38,2.350213039877073,1171.2027565910669
0.05,41,2.3048429113898896,991.6937591032209
0.05,43,2.298281690615143,993.7773406234624
0.05,45,2.496216314621566,519.1377419103036
0.05,48,2.4614509566438403,893.2323726855777
0.05,50,2.4393162351538185,1065.1292173447957
0.05,51,2.4956448593002065,1240.6876057939276
0.05,52,2.3382494626776404,710.4195903023448
0.05,58,2.4393162351538185,1065.1292173447957
0.05,80,2.385415809945521,909.4281030316122
0.05,87,2.4581209987025736,1161.1142343010183
0.05,89,2.4760568403691035,1002.6393430251663
0.05,91,2.481814864898019,1045.7131084030636
0.05,93,2.4682369336484595,880.5151048891794
0.05,110,2.4682369336484595,880.5151048891794
0.05,122,2.4879548034372783,1127.1647391366873
0.05,131,2.4879548034372783,1127.1647391366873
0.05,133,2.420852106571309,771.59263584545
0.05,144,2.4441332821101214,1186.0611077723008
0.05,147,2.450016687456025,1045.8546675736056
0.05,149,2.483753263037927,905.2160166910589
0.05,161,2.402201938968762,510.5302604491786
0.05,170,2.430006092027366,677.5500954199911
0.05,176,2.4715892834604376,873.8342871492666
0.05,177,2.4793725596080236,996.2002053584197
0.05,178,2.5390865756137297,925.3092282740123
0.05,192,2.4319201177480467,1076.9909483519498
0.05,197,2.4393162351538185,1065.1292173447957
0.05,198,2.5062229845453485,495.03585841105894
0.05,200,2.4666844312879497,1068.4514056835028
0.05,214,2.4989530433595184,1234.5790386026458
0.05,215,2.4879548034372783,1127.1647391366873
0.05,218,2.4912567056476553,1121.0227767902197
0.05,219,2.4212202884111584,988.496557154606
0.05,222,2.223381965755779,879.4047167183867
0.05,237,2.4727226704915966,1008.8750831347477
0.05,238,2.436858495156821,1197.4286318588104
0.05,247,2.5540164095813016,710.9202458802501
0.05,261,2.4920354475710313,1028.197960563337
0.05,266,2.3480935089653356,1097.0416105067945
0.05,267,2.354434480796027,1629.4304025669057
0.05,279,2.4760568403691035,1002.6393430251663
0.05,282,2.4740115381560184,922.5253903128407
0.05,287,2.446497593552502,1052.4858289062554
0.05,295,2.3477101083437786,420.63936629100965
0.05,300,2.4715892834604376,873.8342871492666
0.05,301,2.3048429113898896,991.6937591032209
0.05,303,2.4860306541000767,420.6061226349291
0.05,313,2.3956133768013523,1011.0268398002952
0.05,322,2.3997710991273595,1709.9736628386547
0.05,328,2.1932828448454176,821.416705809299
0.05,333,2.368762467327772,1082.9680178540875
0.05,336,2.4185131162004403,921.1857712660776
0.05,338,2.32325206243777,820.7933291958025
0.05,346,2.4793725596080236,996.2002053584197
0.05,347,2.400026695558681,862.332384799673
0.05,349,2.3393756722616463,1185.5831818825982
0.05,353,2.4715892834604376,873.8342871492666
0.05,362,2.524429229004454,618.875506103609
0.05,369,2.384866045829065,1013.3732952943582
0.05,373,2.4826730127849546,989.5510482496362
0.05,377,2.469366813861487,1014.9139996755772
0.05,380,2.0074929920657625,1393.6206910058102
0.05,381,2.4725941195661174,1085.136069481003
0.05,383,2.5047761588434208,861.5833093085517
0.05,388,2.4879548034372783,1127.1647391366873
0.05,389,2.5407290656200594,823.7247419181901
0.05,390,2.4356468379217615,1071.1545420977066
0.05,403,2.2478458455991888,869.9447781874594
0.05,408,2.378539289454449,1748.338745440241
0.05,411,2.533520805019977,901.322428878948
0.05,422,2.446497593552502,1052.4858289062554
0.05,431,2.4319201177480467,1076.9909483519498
0.05,440,2.4378782496230107,533.2061410882613
0.05,447,2.4135593355800116,1227.6193862182008
0.05,455,2.54607985119882,764.4183724107131
0.05,458,2.433999169927108,1223.1647247619935
0.05,464,2.4956448593002065,1240.6876057939276
0.05,465,2.465985982328081,1020.7625547996665
0.05,470,2.3348112190354007,863.5908879856347
0.05,471,2.4393162351538185,1065.1292173447957
0.05,476,2.4682369336484595,880.5151048891794
0.05,489,2.411469576242438,1184.908922855036
0.05,490,2.451211387230285,1173.9711691109028
0.05,491,2.447695138217867,1180.1092271590921
0.05,494,2.4508037952323645,979.8723479289824
0.05,500,2.4356468379217615,1071.1545420977066
0.05,503,2.446133852150518,1329.3241229043379
0.05,508,2.4301298575807677,1120.3790295610231
0.05,516,2.479213361691792,1077.0850738582017
0.05,526,2.511882165045154,1026.6980672666448
0.05,528,2.394957160613153,924.8775274953709
0.05,534,2.4429319560187417,1058.90849605842
0.05,540,2.4393162351538185,1065.1292173447957
0.05,541,2.469366813861487,1014.9139996755772
0.05,544,2.514605640337856,983.2366086850425
0.05,555,2.446497593552502,1052.4858289062554
0.05,556,2.3382494626776404,710.4195903023448
0.05,563,2.437673712393933,1116.0340613067576
0.05,564,2.4715892834604376,873.8342871492666
0.05,566,2.381168742754387,1231.7411533711352
0.05,568,2.4495367071349547,1321.8906824462665
0.05,569,2.4429319560187417,1058.90849605842
0.05,570,2.4436706218287676,986.2257476958725
0.05,577,2.4989530433595184,1234.5790386026458
0.05,580,2.458010614650677,899.2838569166433
0.05,581,2.4715892834604376,873.8342871492666
0.05,587,2.4614509566438403,893.2323726855777
0.05,590,2.455037740881519,1083.4887407701344
0.05,595,2.452168530797221,1086.8821652632748
0.05,598,2.4682369336484595,880.5151048891794
0.05,602,2.481375079068542,239.82885996776713
0.05,605,2.273870613891742,1655.513250432808
0.05,608,2.479213361691792,1077.0850738582017
0.05,619,2.447695138217867,1180.1092271590921
0.05,621,2.4405222688847608,1191.8324002968448
