observations,response_var_0,response_var_1
0,-1.562058985793332,-1.6122028795876753
1,-1.1238351659636956,-0.2881503496244597
2,-0.7810769355529753,-0.2835833573862711
3,-0.7674697854345058,-0.8650064378355293
4,-1.200747023507776,-1.7804086087058597
5,-2.5599453119697877,-0.5498327542847542
6,-0.7595859938082211,-0.36856585141517917
7,-0.6555706702079144,-0.3956536555108057
8,-1.1006162894228644,-0.5770491109522315
9,-0.8261127716745579,-1.536377903888936
10,-0.6544265694245548,-0.9136095241356399
11,-0.7262081051199639,-0.5724385334407155
12,-1.235544627555879,-0.7640024645581024
13,-0.7579797621100905,-1.2832693658627883
14,-0.6768783698657732,-0.9839690301483242
15,-0.6782733116525852,-1.1957443438207327
16,-0.6547554073710878,-0.39084277921809313
17,-0.6119209518960798,-0.22480749953703344
18,-0.7193416211132507,-0.6851167809748748
19,-1.794786096599944,-1.3187128674170423
20,-0.6923877021946385,-0.2570741909588799
21,-0.9289067616885874,-0.445582995370827
22,-2.6070437700704767,-1.0129862144536315
23,-0.7091114253384517,-0.9830491873834801
24,-1.4943420836695576,-1.1991203499923764
25,-1.9469054549847973,-1.2411534792201302
26,-1.4958405049704564,-0.7480309659030929
27,-1.6059709762762087,-0.4516920297450484
28,-0.7936861871921709,-1.2047629776082724
29,-0.6771070770396916,-0.7856396235376139
30,-0.7047471379190741,-1.1109025394323604
31,-1.8860996669200383,-1.942430572236817
32,-1.1286001334003781,-2.3956177956097298
33,-1.04992038599095,-0.26439169207099117
34,-2.047570651306315,-0.7628751004192932
35,-0.6365762313091555,-0.2455220907929869
36,-0.7892843625379529,-1.4373830745727956
37,-1.3257265696812328,-0.8458683445208117
38,-0.7805713830076961,-1.2600131366082752
39,-0.6202951409642565,-0.20705518865513334
40,-0.7253858918147207,-0.919892108970898
41,-0.6712218825917117,-2.041908890611649
42,-1.4434068482962361,-0.31646018616867294
43,-0.804063744814334,-1.1820205939120312
44,-0.7580936713711072,-0.4155615313866931
45,-0.8269254703120763,-0.3007418124879435
46,-0.8446593293592732,-1.3323481518626847
47,-0.64097226677849,-0.42876911856403155
48,-1.2459114721715276,-1.5744065258835638
49,-0.8784655743758064,-1.053955876837934
50,-0.6594129156091882,-0.46194883845621626
51,-3.64478030766518,-0.11208519575191626
52,-0.6350826663909239,-0.2379206938436353
53,-0.6466158610928974,-0.1741528051647706
54,-1.0925493557756305,-0.34914099242091157
55,-0.7140623710266122,-0.4985929699674912
56,-2.358883071025868,-0.3668260063992507
57,-1.2893864583454737,-0.989516546343935
58,-1.1298330667878314,-2.2005264358690853
59,-1.8222567760772377,-1.582281541878955
60,-0.7455909748457467,-0.5892443273660241
61,-1.6013906155406596,-0.2531512956527722
62,-0.8351302705216465,-1.0602113806407538
63,-0.8873205517999725,-0.2887695847555321
64,-0.9194565663529685,-0.2683607559984491
65,-0.6509840610489122,-0.4834618598856149
66,-3.76156945211341,-0.27033536183658796
