observations,centile,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0,0.05,1225.3858463834536,3783.57757654352,1374.0928446473665,446063.11451541266
0,0.25,1401.5307862342343,5013.378183690308,1530.8750014241587,479338.43446627085
0,0.5,1586.979843305118,6529.284047309423,1660.9452307716867,504198.9753898624
0,0.75,1883.9302884566264,9014.664425958566,1808.8796183126176,530098.139753686
0,0.95,2463.131683035116,13651.79446107565,2026.2804890964935,566934.8734059946
1,0.05,1201.7770137051205,3411.858700392306,1368.7497255865396,462471.35127064725
1,0.25,1393.133106677242,4417.093062263881,1523.138237052056,496010.4200209983
1,0.5,1594.609648059629,5655.825677974599,1651.2199175692263,521065.90245760937
1,0.75,1917.220898088013,7686.795455026092,1796.881747478887,547165.5193839204
1,0.95,2546.4462155445945,11476.640874624101,2010.9240928595204,584284.917207059
10,0.05,1202.1901182233528,3092.9857470983015,1313.927243415257,471098.93185861566
10,0.25,1420.2177344454421,4040.516407778396,1477.3774159973607,507474.05874759954
10,0.5,1649.7714008082232,5207.9564275859475,1612.9710618006497,534648.8878870206
10,0.75,2017.320957736745,7122.0448743176485,1767.1693033810916,562954.0966410297
10,0.95,2734.1570089733464,10694.048134088895,1993.7493638221715,603205.167025639
100,0.05,444.06107552362846,3727.9637663663493,1537.0052940421342,449718.7806846464
100,0.25,629.6461879646753,5072.844440310828,1697.68889039765,483793.2406167991
100,0.5,825.0242858704156,6730.708354615958,1831.0021955737998,509251.86506045476
100,0.75,1137.8590352990723,9448.777440040978,1982.6290348614039,535773.7271767552
100,0.95,1748.0243991635,14519.78107670463,2205.4556922834413,573493.9193936989
1001,0.05,595.4818142010375,3080.4739078774282,1147.098605020774,395099.9951100044
1001,0.25,777.8854058145191,4402.102310588865,1306.987491529304,428987.6796638601
1001,0.5,969.9162173419812,6031.290859603654,1439.6396178125574,454306.58246366883
1001,0.75,1277.3954336443705,8702.360849180255,1590.51369658513,480683.0940342555
1001,0.95,1877.1212075289448,13685.72788852752,1812.2350891619178,518197.23064541863
1002,0.05,667.3957204475452,3787.414110901879,1361.42292904296,447197.35302159423
1002,0.25,847.2078835498353,5084.046289628916,1520.451509002141,480898.9850496013
1002,0.5,1036.512633605587,6682.403692366584,1652.388253256405,506078.6717213975
1002,0.75,1339.6304762702594,9302.939111071832,1802.4478535711762,532310.2913315947
1002,0.95,1930.8544925601013,14192.079039108014,2022.9728376015287,569618.9332349277
1004,0.05,674.6983105196391,3757.762536201652,1363.1046612881646,443409.4488504169
1004,0.25,860.2834229606858,5102.6432101461305,1523.7882576436805,477483.9087825697
1004,0.5,1055.6615208664261,6760.507124451261,1657.1015628198302,502942.53322622535
1004,0.75,1368.496270295083,9478.576209876283,1808.7284021074342,529464.3953425257
1004,0.95,1978.6616341595106,14549.579846539935,2031.5550595294717,567184.5875594694
1005,0.05,602.3940507890493,3041.0149223931458,1149.8122744721873,391428.8467787048
1005,0.25,791.73553885711,4407.546912566214,1311.2162225126972,425688.8739742711
1005,0.5,991.0661026848393,6092.106945190835,1445.1291939640473,451286.282214032
1005,0.75,1310.2248491162193,8853.929556214258,1597.4387731135932,477952.45627849305
1005,0.95,1932.7175141591388,14006.52089144777,1821.2674284370103,515877.14981169853
1006,0.05,678.0471809896945,3735.910436980638,1364.70488129297,441603.81256136036
1006,0.25,867.3886690577552,5102.442427153706,1526.10882933348,475863.8397569267
1006,0.5,1066.7192328854846,6787.002459778328,1660.0218007848302,501461.24799668754
1006,0.75,1385.8779793168644,9548.82507080175,1812.331379934376,528127.4220611486
1006,0.95,2008.370644359784,14701.41640603526,2036.1600352577932,566052.1155943541
1007,0.05,612.7284286190927,2935.527864777126,1159.902576769743,384865.424922241
1007,0.25,822.594075846918,4376.189093058192,1323.274547703358,419816.7644476867
1007,0.5,1043.5233103122584,6152.104103486375,1458.8292977532212,445930.86792824056
1007,0.75,1397.241496881527,9063.648334307132,1613.0086007989248,473133.7635168532
1007,0.95,2087.09862764691,14495.479359209468,1839.577572644791,511818.35146619525
1008,0.05,866.3536970623429,2920.4391210153876,1154.684738189409,361991.5295659002
1008,0.25,1168.7648126704212,4559.505477050276,1312.1059596831067,397439.3697648507
1008,0.5,1487.1107162307126,6579.718774276176,1442.7351175111776,423921.80028166465
1008,0.75,1996.708560456533,9891.895829344538,1591.3194435836206,451503.5439373529
1008,0.95,2990.385031663409,16071.791322522864,1809.665373192619,490720.6240862202
1009,0.05,866.3046069721482,2961.6943767983967,1114.1799104231713,377867.63910638366
1009,0.25,1059.9643101151553,4348.441068990343,1276.2213221366071,412310.1067171424
1009,0.5,1263.8388181479581,6057.92088050311,1410.6653276250727,438043.9265584222
1009,0.75,1590.2680818541633,8860.58461294237,1563.5795388727681,464851.88632512937
1009,0.95,2226.9329459198257,14089.337040380244,1788.2951211858347,502977.42571963626
101,0.05,340.7652317706785,2990.7712881638654,1326.4456863937096,413693.1680089199
101,0.25,517.3065591025029,4135.187077145784,1480.7061847399896,446588.7043175726
101,0.5,703.1786837879068,5545.725308684705,1608.6831944731196,471164.6041294244
101,0.75,1000.8098503605308,7858.368079231823,1754.2335832049266,496766.6999730071
101,0.95,1581.3375865809812,12173.405137709442,1968.1258265147153,533181.0689297377
1010,0.05,875.7876918608863,2791.2224301335145,1142.0044230493281,365550.31338986335
1010,0.25,1131.1921962067127,4328.996021026773,1304.6342856685399,401149.8609562635
1010,0.5,1400.052638313696,6224.484089078152,1439.5843294128374,427747.3857605814
1010,0.75,1830.4658432598962,9332.05437460059,1593.079341166871,455450.9351297766
1010,0.95,2669.8105223910197,15129.759278161206,1818.634787266194,494842.72864636476
1011,0.05,869.0882416067607,2935.0641526117142,1116.5769736802613,376190.71589289355
1011,0.25,1067.61609901484,4340.7709957545585,1279.164525820519,410810.55592369917
1011,0.5,1276.6135069276495,6073.619052173303,1414.0638900237193,436676.96403260855
1011,0.75,1611.2397520663244,8914.580581901331,1567.4966251739002,463622.6782918837
1011,0.95,2263.8825744175447,14214.756751539118,1792.9723889014767,501943.28273089376
1012,0.05,876.8903796049849,2814.6698945730013,1132.0392686093933,368907.6981165677
1012,0.25,1107.5391921846917,4303.599335053519,1295.6878497572675,404265.822807403
1012,0.5,1350.342328421645,6138.955962013431,1431.4784692091955,430683.58756609337
1012,0.75,1739.0609400696487,9147.93227152137,1585.9277204974803,458201.35930345487
1012,0.95,2497.139351386777,14761.567499594752,1812.8880979014086,497331.13217086805
1013,0.05,828.439238851127,2919.1740763196754,1116.1271954595181,397782.1491564162
1013,0.25,1006.5079558910213,4030.574824364917,1269.6982372342322,430621.9469704069
1013,0.5,1193.990187004326,5400.365730858528,1397.1030923746184,455155.8604663071
1013,0.75,1494.1996075243028,7646.204943598153,1542.0013035087356,480713.8742394537
1013,0.95,2079.7532043293313,11836.677853698355,1754.932366097004,517065.32471256435
1014,0.05,844.6640044099996,3039.795364204344,1109.598171676618,389206.8575631949
1014,0.25,1021.1428233077354,4280.7614492015055,1266.746559326694,422546.587742093
1014,0.5,1206.9425811927165,5810.443981376906,1397.120950979825,447455.3632175295
1014,0.75,1504.4537835562608,8318.408188842133,1545.4016777117035,473404.80452818214
1014,0.95,2084.7483562602974,12997.648260761358,1763.3118993826079,510312.94586150703
1015,0.05,840.5236589866145,3026.4589514208405,1111.004862634966,391280.570336353
1015,0.25,1016.3133008896733,4236.613812414969,1267.1538406614463,424448.8142323056
1015,0.5,1201.3896818003104,5728.278294415705,1396.698316415048,449229.1543852795
1015,0.75,1497.7445562544012,8173.919316689275,1544.0340223176966,475044.69260903983
1015,0.95,2075.784833589584,12736.950461221462,1760.5542225422037,511762.6140525388
1016,0.05,863.214674625152,2986.537012015476,1112.1517592258524,379610.4256689667
1016,0.25,1052.5561626932126,4353.069002188544,1273.555707266362,413870.45286453306
1016,0.5,1251.886726520942,6037.629034813166,1407.4686787177125,439467.8611042939
1016,0.75,1571.045472952322,8799.451645836589,1559.7782578672582,466134.035168755
1016,0.95,2193.5381379952414,13952.042981070099,1783.6069131906754,504058.72870196047
1017,0.05,859.8658041550964,3008.3891112364895,1110.5515392210468,381416.0619580233
1017,0.25,1045.450916596143,4353.269785180969,1271.235135576563,415490.521890176
1017,0.5,1240.8290145018836,6011.133699486099,1404.5484407527124,440949.14633383165
1017,0.75,1553.6637639305402,8729.20278491112,1556.1752800403165,467471.0084501321
1017,0.95,2163.829127794968,13800.20642157477,1779.0019374623541,505191.2006670758
1018,0.05,874.494776558113,2797.69881032577,1145.0929362145466,364623.93542772054
1018,0.25,1138.8697016583053,4353.026991847426,1307.0534805956017,400255.3662818571
1018,0.5,1417.1728313819135,6270.126240453093,1441.4491469194143,426876.43113109557
1018,0.75,1862.6955170209853,9413.140035469896,1594.3142887469476,454604.0415551006
1018,0.95,2731.489192309701,15277.036615540592,1818.944190057382,494029.4987076974
1019,0.05,952.6680472162028,3495.6038089193153,1350.3119990533783,417871.32674601476
1019,0.25,1191.1681217052717,5000.429567787036,1513.7770199434908,453331.62835962744
1019,0.5,1442.2350580421069,6855.356906170117,1649.4171442214538,479825.5667477656
1019,0.75,1844.176630043876,9896.41813813206,1803.695805005602,507422.18818342447
1019,0.95,2628.028021911203,15569.943730917506,2030.4042116077244,546663.2993908072
102,0.05,374.84674814003483,2986.373517340764,1325.741058423476,395995.39205035113
102,0.25,568.506451283042,4373.12020953271,1487.7824701369118,430437.8596611099
102,0.5,772.3809593158448,6082.600021045477,1622.2264756253774,456171.6795023897
102,0.75,1098.81022302205,8885.263753484736,1775.1406868730726,482979.6392690969
102,0.95,1735.4750870877124,14114.016180922612,1999.8562691861391,521105.1786636038
1022,0.05,907.8762208034371,3660.987662208992,1329.7771452141878,445740.38084760803
1022,0.25,1084.4175481352613,4805.40345119091,1484.0376435604676,478635.9171562607
1022,0.5,1270.2896728206654,6215.94168272983,1612.0146532935978,503211.8169681124
1022,0.75,1567.9208393932893,8528.584453276948,1757.5650420254049,528813.9128116951
1022,0.95,2148.44857561374,12843.621511754569,1971.4572853351935,565228.2817684257
1024,0.05,844.6640044099996,3039.795364204344,1109.598171676618,389206.8575631949
1024,0.25,1021.1428233077354,4280.7614492015055,1266.746559326694,422546.587742093
1024,0.5,1206.9425811927165,5810.443981376906,1397.120950979825,447455.3632175295
1024,0.75,1504.4537835562608,8318.408188842133,1545.4016777117035,473404.80452818214
1024,0.95,2084.7483562602974,12997.648260761358,1763.3118993826079,510312.94586150703
1025,0.05,1019.3324467939883,3750.636316197446,1504.7508072800103,427569.3019591499
1025,0.25,1195.122088697047,4960.791177191575,1660.8997853064907,460737.54585510254
1025,0.5,1380.198469607684,6452.455659192311,1790.4442610600922,485517.8860080764
1025,0.75,1676.553344061775,8898.09668146588,1937.779966962741,511333.42423183675
1025,0.95,2254.593621396958,13461.127825998072,2154.300167187248,548051.3456753357
1026,0.05,1019.3324467939883,3750.636316197446,1504.7508072800103,427569.3019591499
1026,0.25,1195.122088697047,4960.791177191575,1660.8997853064907,460737.54585510254
1026,0.5,1380.198469607684,6452.455659192311,1790.4442610600922,485517.8860080764
1026,0.75,1676.553344061775,8898.09668146588,1937.779966962741,511333.42423183675
1026,0.95,2254.593621396958,13461.127825998072,2154.300167187248,548051.3456753357
1028,0.05,603.2940217637697,3787.388783315678,1609.749516373981,477539.8059269953
1028,0.25,779.7728406615054,5028.354868312837,1766.897904024057,510879.53610589344
1028,0.5,965.5725985464866,6558.037400488239,1897.2722956771881,535788.3115813299
1028,0.75,1263.0838009100307,9066.001607953467,2045.5530224090667,561737.7528919826
1028,0.95,1843.3783736140674,13745.241679872692,2263.4632440799705,598645.8942253075
1029,0.05,527.6408915631242,3092.4932687281857,1394.8569095531982,427364.8401443397
1029,0.25,704.1197104608601,4333.459353725346,1552.0052972032743,460704.57032323786
1029,0.5,889.9194683458413,5863.141885900746,1682.3796888564054,485613.34579867433
1029,0.75,1187.4306707093856,8371.106093365974,1830.6604155882837,511562.787109327
1029,0.95,1767.725243413422,13050.3461652852,2048.570637259188,548470.9284426519
103,0.05,385.55705818344427,2825.3874348741892,1346.9805402328998,385824.1139073267
103,0.25,624.0571326725131,4330.213193741911,1510.4455611230126,421284.41552093934
103,0.5,875.1240690093484,6185.140532124991,1646.0856854009755,447778.3539090775
103,0.75,1277.0656410111173,9226.201764086934,1800.364346185124,475374.9753447364
103,0.95,2060.9170328784444,14899.727356872381,2027.0727527872464,514616.0865521191
1030,0.05,607.3079082013169,3790.725939388387,1609.055673527991,475513.09742811485
1030,0.25,785.1373734749457,5060.500176031078,1767.1675069211992,509031.3836037748
1030,0.5,972.3569173724243,6625.725298591451,1898.3423007879449,534073.8423075627
1030,0.75,1272.1389789131492,9191.951921054371,2047.5343770804998,560162.5667426934
1030,0.95,1856.8603677252013,13979.828019682129,2266.7844782789903,597268.4488466142
1031,0.05,630.1480777132626,3655.4004991414863,1619.435304325644,462915.70813605166
1031,0.25,834.0821857224591,5079.009467695747,1782.469224049012,497705.86052035715
1031,0.5,1048.768991837234,6833.916908575645,1917.741215033087,523699.5443999207
1031,0.75,1392.4987328192376,9711.031290816925,2071.598349675774,550777.4375744468
1031,0.95,2062.886338524709,15078.637729173115,2297.6958527743855,589285.1452306648
1032,0.05,630.1480777132626,3655.4004991414863,1619.435304325644,462915.70813605166
1032,0.25,834.0821857224591,5079.009467695747,1782.469224049012,497705.86052035715
1032,0.5,1048.768991837234,6833.916908575645,1917.741215033087,523699.5443999207
1032,0.75,1392.4987328192376,9711.031290816925,2071.598349675774,550777.4375744468
1032,0.95,2062.886338524709,15078.637729173115,2297.6958527743855,589285.1452306648
1034,0.05,515.1999777559166,3018.79005214534,1400.1432762699853,433723.3976460973
1034,0.25,691.7413050877408,4163.205841127259,1554.4037746162653,466618.9339547499
1034,0.5,877.6134297731447,5573.744072666179,1682.3807843493953,491194.8337666017
1034,0.75,1175.2445963457687,7886.386843213297,1827.9311730812024,516796.9296101844
1034,0.95,1755.7723325662191,12201.423901690916,2041.823416390991,553211.298566915
1035,0.05,590.8531079565619,3713.6855667328323,1615.035883090768,483898.36342875287
1035,0.25,767.3944352883861,4858.101355714751,1769.296381437048,516793.8997374055
1035,0.5,953.2665599737901,6268.6395872536705,1897.273391170178,541369.7995492573
1035,0.75,1250.897726546414,8581.282357800788,2042.823779901985,566971.89539284
1035,0.95,1831.4254627668643,12896.31941627841,2256.716023211774,603386.2643495705
1037,0.05,624.9346243259181,3709.28779590973,1614.3312551205345,466200.587470184
1037,0.25,818.5943274689253,5096.034488101676,1776.3726668339702,500643.0550809428
1037,0.5,1022.4688355017281,6805.514299614443,1910.8166723224358,526376.8749222226
1037,0.75,1348.8980992079332,9608.178032053702,2063.730883570131,553184.8346889297
1037,0.95,1985.5629632735959,14836.930459491577,2288.4464658831976,591310.3740834367
1038,0.05,599.1536763403844,3774.052370532174,1611.1562073323291,479613.5187001534
1038,0.25,774.9433182434434,4984.207231526303,1767.3051853588095,512781.76259610604
1038,0.5,960.0196991540803,6475.871713527038,1896.849661112411,537562.1027490799
1038,0.75,1256.3745736081712,8921.512735800607,2044.1853670150597,563377.6409728403
1038,0.95,1834.4148509433544,13484.543880332796,2260.705567239567,600095.5624163392
1039,0.05,505.4003386352588,2847.2139145714145,1399.301664640129,440539.88274269836
1039,0.25,689.106780903721,3896.5722170215367,1552.5032516542035,473545.8105301361
1039,0.5,882.527945445289,5189.780700337911,1679.6011626566005,498203.26025212737
1039,0.75,1192.244981789192,7310.06379038636,1824.1470828450013,523889.1025545173
1039,0.95,1796.3330004567001,11266.427468828722,2036.5544131577258,560421.3999408075
104,0.05,453.28351297529264,3654.638807741574,1543.0307285013484,444493.4346195166
104,0.25,651.811370383372,5060.345650884417,1705.6182806416061,479113.2746503223
104,0.5,860.8087782961816,6793.193707303162,1840.5176448448067,504979.6827592316
104,0.75,1195.4350234348565,9634.155237031191,1993.9503799949875,531925.3970185068
104,0.95,1848.0778457860765,14934.331406668975,2219.426143722564,570246.0014575168
1040,0.05,519.2906262201957,3054.6334964838966,1398.2228498425914,431557.3348002446
1040,0.25,695.0878847931916,4232.285022906786,1553.3766623274225,464570.1378736632
1040,0.5,880.1744866367304,5683.839895279582,1682.0950520046317,489234.00243042974
1040,0.75,1176.547096608232,8063.726296880267,1828.4899825664872,514928.00846129935
1040,0.95,1754.621681320375,12504.148821993498,2043.625746839387,551473.1630546375
1041,0.05,611.1932314367726,3785.6341050480514,1609.0211516732054,473536.91449300095
1041,0.25,791.0053945390626,5082.266283775088,1768.0497316323863,507238.546521008
1041,0.5,980.3101445948146,6680.623686512756,1899.9864758866504,532418.2331928043
1041,0.75,1283.4279872594866,9301.159105218003,2050.046076201422,558649.8528030014
1041,0.95,1874.6520035493286,14190.299033254185,2270.571060231774,595958.4947063345
1042,0.05,527.6408915631242,3092.4932687281857,1394.8569095531982,427364.8401443397
