centile,observations,WM-hypointensities
0.05,459,765.3508553110809
0.05,995,359.6300248218547
0.05,432,615.631668994242
0.05,288,421.6864705121185
0.05,23,968.0477483885576
0.05,1073,168.74791166071464
0.05,579,-380.3057184404845
0.05,516,622.4762275555404
0.05,248,578.570564014527
0.05,752,-299.04676462453244
0.05,380,773.4358644664185
0.05,382,765.3508553110809
0.05,1033,408.1453716961985
0.05,68,349.56212060674716
0.05,554,-143.381393396332
0.05,250,424.88859583803605
0.05,92,-28.399648149845916
0.05,236,424.88859583803605
0.05,239,567.4573450100652
0.05,747,-164.3433589994056
0.05,240,424.5827172545271
0.05,238,566.8666278732571
0.05,83,-30.988236220666977
0.05,845,450.3780487829406
0.05,85,76.71059592839424
0.05,560,42.37056267494859
0.05,464,776.464074315543
0.05,210,424.88859583803605
0.05,623,-417.7573224746525
0.05,999,506.5531505005107
0.05,207,421.6864705121185
0.05,624,388.66954792903505
0.05,34,-97.69881584243353
0.05,448,619.7538962899275
0.05,602,-343.62652222109796
0.05,642,-51.27746188433002
0.05,746,-299.6244083431261
0.05,617,563.0604837366376
0.05,1067,152.9162283706114
0.05,505,611.6688871345892
0.05,674,557.9784957072026
0.05,304,578.570564014527
0.05,604,55.08102878782165
0.05,82,317.45509541787817
0.05,1077,165.71970181159327
0.05,101,93.06961658405612
0.05,306,553.4830069685378
0.05,135,413.7753768335755
0.05,817,296.7372261843418
0.05,592,-470.3141764989416
0.05,431,611.6688871345892
0.05,289,421.6864705121185
0.05,453,619.7538962899275
0.05,8,1029.9139161319629
0.05,822,387.65431136263726
0.05,10,937.9887980087981
0.05,875,974.0368219397108
0.05,508,776.1581957320316
0.05,1018,676.7736370603943
0.05,402,776.464074315543
0.05,686,307.1146934105167
0.05,291,399.80103879204773
0.05,1032,533.1896118253936
0.05,322,421.86038598891275
0.05,776,386.57820295326087
0.05,154,409.0569125479317
0.05,681,451.5407878311214
0.05,1050,152.9162283706114
0.05,211,421.6864705121185
0.05,67,484.16273686196223
0.05,89,80.26614314307835
0.05,519,751.376517269553
0.05,117,887.5392487667029
0.05,481,611.6688871345892
0.05,507,622.7821061390492
0.05,814,384.9884770706308
0.05,529,751.376517269553
0.05,584,409.9692326969513
0.05,831,389.552361647352
0.05,680,476.6283448771113
0.05,381,597.6945490930599
0.05,386,619.57998081313
0.05,522,622.7821061390492
0.05,20,1037.9584944039395
0.05,177,424.88859583803605
0.05,159,578.570564014527
0.05,677,319.7442513746979
0.05,495,597.6945490930599
0.05,325,118.74233064996542
0.05,988,329.53392064816376
0.05,203,578.2646854310188
0.05,1004,510.12113078747393
0.05,610,-571.9432987495591
0.05,241,578.2646854310188
0.05,61,455.5250088146655
0.05,475,622.4762275555404
0.05,883,1136.3945164083475
0.05,188,424.5827172545271
0.05,90,48.072867881095135
0.05,138,424.5827172545271
0.05,206,424.88859583803605
0.05,196,409.0569125479317
0.05,784,342.4548521298625
0.05,644,-421.30117188932263
0.05,812,99.43611287115004
0.05,796,302.58603614299045
0.05,842,350.59562009745787
0.05,234,575.3684386886094
0.05,630,193.90818446697904
0.05,774,540.655174838778
0.05,772,512.813708764913
0.05,823,528.8267853199632
0.05,179,575.3684386886094
0.05,3,1029.0827211513758
0.05,389,773.2619489896219
0.05,281,421.6864705121185
0.05,551,-252.27525711314752
0.05,317,421.6864705121185
0.05,414,622.4762275555404
0.05,543,622.7821061390492
0.05,454,611.078169997785
0.05,1035,578.1863605283506
0.05,581,40.22621629049172
0.05,130,575.3684386886094
0.05,532,776.1581957320316
0.05,879,985.7407580809784
0.05,613,417.88032637549225
0.05,38,869.151946893558
0.05,226,424.88859583803605
0.05,200,424.88859583803605
0.05,791,529.8800489514042
0.05,347,60.7830309229812
0.05,743,-299.6244083431261
0.05,1031,533.1896118253936
0.05,307,578.570564014527
0.05,358,611.078169997785
0.05,152,413.7753768335755
0.05,137,575.5423541654044
0.05,428,751.376517269553
0.05,411,776.464074315543
0.05,506,611.6688871345892
0.05,578,379.5270621031219
0.05,655,2584.0317677493845
0.05,452,619.57998081313
0.05,218,399.80103879204773
0.05,312,578.2646854310188
0.05,333,-2.7463622645450414
0.05,1065,310.7259436959391
0.05,180,399.80103879204773
0.05,373,747.619150830126
0.05,169,575.3684386886094
0.05,1052,299.8461825145812
0.05,359,611.6688871345892
0.05,753,-437.6714806149255
0.05,272,417.7381586932297
0.05,115,887.5392487667029
0.05,352,619.57998081313
0.05,567,496.8852183668764
0.05,1047,165.71970181159327
0.05,662,409.3785155601415
0.05,245,409.0569125479317
0.05,770,223.3903976918068
0.05,480,606.9504228489446
0.05,96,201.75483605758996
0.05,99,213.1585693302825
0.05,670,554.7763703812786
0.05,871,978.5903209361704
0.05,21,938.4960459749475
0.05,330,155.06335306078267
0.05,996,519.5788237681023
0.05,69,480.9662700441229
0.05,444,619.57998081313
0.05,443,611.6688871345892
0.05,126,887.5392487667029
0.05,107,862.1910660756695
0.05,540,776.1581957320316
0.05,300,413.7753768335755
0.05,760,383.8844724247324
0.05,790,544.5644506643623
0.05,395,769.3136371707327
0.05,28,-34.06975487711793
0.05,687,322.9463767006183
0.05,257,578.570564014527
0.05,420,603.3948756342644
0.05,95,88.94738928837046
0.05,577,147.23029712415905
0.05,111,887.845127350213
0.05,303,424.5827172545271
0.05,1021,843.7147003603686
0.05,572,211.16931308180574
0.05,616,404.79514672880555
0.05,512,765.3508553110809
0.05,850,332.8554745273358
0.05,7,1063.2729514993307
0.05,229,413.7753768335755
0.05,573,262.59645277450636
0.05,832,114.22081024889508
0.05,429,619.57998081313
0.05,301,424.88859583803605
0.05,114,865.2614300275854
0.05,755,-463.44872920998137
0.05,258,424.88859583803605
0.05,400,619.57998081313
0.05,134,553.4830069685378
0.05,668,550.8280585623924
0.05,1059,152.9162283706114
0.05,859,233.2360002970321
0.05,237,421.86038598891275
0.05,503,776.1581957320316
0.05,285,421.6864705121185
0.05,1019,894.4406201069146
0.05,523,622.7821061390492
0.05,408,776.1581957320316
0.05,600,574.4585412943919
0.05,417,615.631668994242
0.05,55,-273.8496383095817
0.05,667,554.9502858580779
0.05,123,797.7848794722377
0.05,631,123.13156115867969
0.05,775,27.425960300656698
0.05,1048,168.74791166071464
0.05,1027,492.0936764199878
0.05,596,-410.3457203700923
0.05,568,181.1977183541096
0.05,818,219.13765616460933
0.05,586,-39.63629747530945
0.05,256,578.570564014527
0.05,992,513.3119929983486
0.05,406,622.7821061390492
0.05,290,575.3684386886094
0.05,393,619.57998081313
0.05,244,578.570564014527
0.05,987,348.6628608170082
0.05,13,1041.2402864003568
0.05,881,982.7125482318559
0.05,547,751.376517269553
0.05,1070,152.9162283706114
0.05,19,1026.4695783517136
0.05,263,421.6864705121185
0.05,466,773.2619489896219
0.05,266,424.88859583803605
0.05,157,421.6864705121185
0.05,863,481.0578862746014
0.05,387,773.4358644664185
0.05,542,619.57998081313
0.05,1016,814.3300064371118
0.05,162,424.88859583803605
0.05,222,421.86038598891275
0.05,811,529.5633225103468
0.05,357,773.2619489896219
0.05,323,578.570564014527
0.05,163,575.3684386886094
0.05,427,773.4358644664185
0.05,217,413.7753768335755
0.05,223,421.6864705121185
0.05,91,220.9348711242535
0.05,30,707.5588850385242
0.05,182,424.5827172545271
0.05,675,538.5912652024149
0.05,298,417.7381586932297
0.05,15,843.4113978535768
0.05,27,869.151946893558
0.05,363,776.1581957320316
0.05,231,578.2646854310188
0.05,335,141.11322792751184
0.05,520,773.4358644664185
0.05,273,421.6864705121185
0.05,367,619.7538962899275
0.05,184,413.7753768335755
0.05,664,-173.50210578761767
0.05,1037,544.5933450980867
0.05,255,424.88859583803605
0.05,778,390.69128471453246
0.05,815,402.5020251713397
0.05,824,530.2008396187865
0.05,1051,310.7259436959391
0.05,224,578.570564014527
0.05,5,1036.7403630884962
0.05,1014,830.9112269193872
0.05,565,385.78828826591325
0.05,461,776.464074315543
0.05,763,248.4988726913523
0.05,1038,569.5106342362083
0.05,880,1139.1168476739617
0.05,49,869.3258623703528
0.05,750,-463.44872920998137
0.05,490,619.57998081313
0.05,509,611.6688871345892
0.05,544,611.6688871345892
0.05,58,-285.12773666226917
0.05,355,619.7538962899275
0.05,1020,548.7920196667616
0.05,629,-327.18407396410817
0.05,362,622.7821061390492
0.05,786,366.50529271953155
0.05,862,362.08336368354037
0.05,757,510.0355129363984
0.05,356,597.6945490930599
0.05,399,622.4762275555404
0.05,484,751.376517269553
0.05,145,424.5827172545271
0.05,175,413.7753768335755
0.05,295,421.6864705121185
0.05,404,622.4762275555404
0.05,785,117.33537073005095
0.05,827,367.5772257289052
0.05,605,-520.3005529700094
0.05,658,377.56174737117703
0.05,672,557.9784957072026
0.05,458,622.4762275555404
0.05,806,481.1555058353248
0.05,619,273.5778378161158
0.05,486,776.464074315543
0.05,72,346.8397893411359
0.05,233,578.570564014527
0.05,48,849.7703748968518
0.05,271,421.6864705121185
0.05,434,619.7538962899275
0.05,305,578.570564014527
0.05,140,571.4201268697173
0.05,861,475.39239047298884
0.05,262,421.6864705121185
0.05,647,545.9194963924912
0.05,144,567.4573450100652
0.05,874,1132.2722891126614
0.05,267,553.4830069685378
0.05,151,575.3684386886094
0.05,869,985.4348794974703
0.05,191,421.86038598891275
0.05,868,1139.1168476739617
0.05,566,-186.21257190049505
0.05,997,510.12113078747393
0.05,759,-232.81447968628981
0.05,439,622.4762275555404
0.05,657,-439.5112245630519
0.05,445,597.6945490930599
0.05,418,622.7821061390492
0.05,633,417.88032637549225
0.05,497,597.6945490930599
0.05,793,410.22618485527505
0.05,53,718.672104042986
0.05,44,718.672104042986
0.05,843,327.74235435830883
0.05,195,421.6864705121185
0.05,482,619.7538962899275
0.05,160,571.4201268697173
0.05,194,578.570564014527
0.05,116,887.845127350213
0.05,284,424.5827172545271
0.05,1076,143.0938503861753
0.05,837,-189.03598080652773
0.05,294,578.2646854310188
0.05,171,424.88859583803605
0.05,594,-439.5112245630519
0.05,1002,516.382356950261
0.05,1001,359.6300248218547
0.05,153,421.86038598891275
0.05,456,611.6688871345892
0.05,65,471.137063594369
0.05,569,-380.3057184404845
0.05,659,418.0542418522864
0.05,376,765.3508553110809
0.05,62,308.13159827491256
0.05,315,424.88859583803605
0.05,483,619.57998081313
0.05,351,619.57998081313
0.05,534,773.4358644664185
0.05,377,619.57998081313
0.05,695,322.9463767006183
0.05,18,909.0605314446037
0.05,165,424.88859583803605
0.05,409,606.9504228489446
0.05,110,822.6763919520624
0.05,103,-9.886431845890229
0.05,199,424.5827172545271
0.05,337,-2.7463622645450414
0.05,235,421.6864705121185
0.05,369,622.7821061390492
0.05,190,578.570564014527
0.05,622,-4.787867522200486
0.05,789,383.61469399544774
0.05,1061,303.0426493324212
0.05,765,367.5772257289052
0.05,835,524.4035727974083
0.05,136,575.3684386886094
0.05,661,404.79514672880555
0.05,500,773.2619489896219
0.05,193,424.5827172545271
0.05,118,876.7319083457505
0.05,691,476.6283448771113
0.05,166,424.88859583803605
0.05,173,424.88859583803605
0.05,1028,565.3828870873712
0.05,164,575.5423541654044
0.05,148,413.1846596967681
0.05,450,773.4358644664185
0.05,430,776.464074315543
0.05,1000,513.3119929983486
0.05,612,-316.6322083224575
0.05,478,619.57998081313
0.05,571,-380.3057184404845
0.05,232,424.5827172545271
0.05,782,328.0607810687345
0.05,559,302.38772730946596
0.05,773,310.1754375233987
0.05,558,385.78828826591325
0.05,216,575.3684386886094
0.05,671,554.9502858580779
0.05,31,707.5588850385242
0.05,583,-410.3457203700923
0.05,278,571.4201268697173
0.05,422,611.6688871345892
0.05,332,134.3543854296729
0.05,32,-112.7560680285203
0.05,265,413.7753768335755
0.05,1040,420.3821650561765
0.05,433,619.57998081313
0.05,1011,805.0065092941493
0.05,597,409.3785155601415
0.05,585,365.3322862531759
0.05,316,413.7753768335755
0.05,991,365.89685559160887
0.05,168,421.6864705121185
0.05,42,-113.3337117471242
0.05,625,-405.1633914193876
0.05,1053,161.59747451590465
0.05,650,236.77738186498573
0.05,673,538.5912652024149
0.05,471,619.7538962899275
0.05,374,593.9371826536346
0.05,174,424.88859583803605
0.05,807,381.93706405454816
0.05,836,541.1137745851255
0.05,451,622.4762275555404
0.05,809,328.7564486722298
0.05,615,313.6227314135341
0.05,192,575.3684386886094
0.05,80,346.8397893411359
0.05,74,324.2139379157138
0.05,77,500.5217575176256
0.05,348,-6.301909479226197
0.05,632,420.77657311789903
0.05,76,484.16273686196223
0.05,745,-374.04241964961193
0.05,208,575.3684386886094
0.05,407,611.6688871345892
0.05,84,95.79194784966921
0.05,580,563.0604837366376
0.05,455,622.4762275555404
0.05,119,876.7319083457505
0.05,601,563.6512008734411
0.05,798,542.2749163825027
0.05,489,622.7821061390492
0.05,469,776.464074315543
0.05,472,611.6688871345892
0.05,561,401.2215484437244
0.05,787,227.01044292014922
0.05,882,1139.1168476739617
0.05,1005,352.871182324017
0.05,401,619.7538962899275
0.05,221,578.570564014527
0.05,802,-738.3532809399546
0.05,436,776.464074315543
0.05,344,5.934883880753205
0.05,603,193.90818446697904
0.05,998,373.58014995512644
0.05,276,421.6864705121185
0.05,826,109.61834958129452
0.05,249,575.3684386886094
0.05,286,417.7381586932297
0.05,268,575.5423541654044
0.05,1009,810.1216849301035
0.05,473,606.9504228489446
0.05,1044,574.0641332326683
0.05,383,622.7821061390492
0.05,176,553.4830069685378
0.05,607,-520.3005529700094
0.05,528,597.6945490930599
0.05,533,606.9504228489446
0.05,851,336.978199343665
0.05,537,776.1581957320316
0.05,485,597.6945490930599
0.05,113,887.5392487667029
0.05,530,765.3508553110809
0.05,370,622.4762275555404
0.05,848,474.09320815578405
0.05,990,506.5531505005107
0.05,570,-206.02873176468438
0.05,1010,700.96737739546
0.05,844,150.73796084565447
0.05,81,-110.85074998646905
0.05,251,421.6864705121185
0.05,70,338.16406304899044
0.05,877,985.4348794974703
0.05,46,869.151946893558
0.05,243,578.570564014527
0.05,535,776.464074315543
0.05,620,347.1930800200537
0.05,1072,299.8461825145812
0.05,589,417.88032637549225
0.05,1056,319.40166998808604
0.05,689,464.9244087358385
0.05,1030,561.8273398726907
0.05,368,606.9504228489446
0.05,149,424.88859583803605
0.05,767,544.5821816221534
0.05,855,471.8368432583077
0.05,371,611.6688871345892
0.05,170,421.86038598891275
0.05,794,-488.0184924872606
0.05,98,233.948111319566
0.05,525,619.57998081313
0.05,608,571.562294551985
0.05,756,-427.8783937960661
0.05,75,500.5217575176256
0.05,1008,548.7920196667616
0.05,694,473.4262195511901
0.05,510,615.631668994242
0.05,598,533.0280189625616
0.05,493,773.2619489896219
0.05,0,1048.6647094465645
0.05,6,982.3212755276681
0.05,643,40.22621629049172
0.05,849,474.82747234863314
0.05,141,566.8666278732571
0.05,97,76.71059592839424
0.05,161,413.7753768335755
0.05,1045,411.7009189108835
0.05,146,421.86038598891275
0.05,227,424.5827172545271
0.05,228,417.7381586932297
0.05,424,776.1581957320316
0.05,993,365.89685559160887
0.05,128,553.4830069685378
0.05,410,619.7538962899275
0.05,341,-63.44220395093362
0.05,477,622.4762275555404
0.05,2,1036.7715472240582
0.05,1075,303.0426493324212
0.05,683,322.640498117112
0.05,853,328.61479529056453
0.05,575,533.209030279613
0.05,280,417.7381586932297
0.05,398,773.2619489896219
0.05,29,707.5588850385242
0.05,215,421.6864705121185
0.05,652,60.79065575594018
0.05,639,223.8797791946838
0.05,860,351.0359534913955
0.05,366,776.1581957320316
0.05,299,424.88859583803605
0.05,828,289.03344092984014
0.05,287,421.86038598891275
0.05,388,773.4358644664185
0.05,665,554.7763703812786
0.05,494,776.464074315543
0.05,460,773.2619489896219
0.05,1064,310.7259436959391
0.05,870,1033.4384679784023
0.05,425,611.6688871345892
0.05,754,-299.6244083431261
0.05,349,150.9356059119434
0.05,338,134.3543854296729
0.05,524,619.57998081313
0.05,552,147.23029712415905
0.05,563,520.3175528496873
0.05,16,917.7241939842763
0.05,253,413.7753768335755
0.05,769,540.5378478629608
0.05,627,236.77738186498573
0.05,526,597.128044864508
0.05,43,861.2408532150154
0.05,1022,997.3966685368604
0.05,261,575.5423541654044
0.05,852,197.10031765479857
0.05,1036,574.0641332326683
0.05,172,567.4573450100652
0.05,125,887.845127350213
0.05,1060,306.5981965471019
0.05,531,619.57998081313
0.05,1063,168.74791166071464
0.05,397,765.3508553110809
0.05,498,622.4762275555404
0.05,1026,818.3767782916357
0.05,296,421.86038598891275
0.05,768,495.2079302186627
0.05,751,-258.91491473741326
0.05,986,535.7639289469658
0.05,342,-23.53590425383277
0.05,511,776.464074315543
0.05,59,349.56212060674716
0.05,50,856.5223889293734
0.05,1074,306.5981965471019
0.05,649,60.79065575594018
0.05,638,574.764419877904
0.05,1,1043.4820786908758
0.05,270,421.6864705121185
0.05,297,424.5827172545271
0.05,155,421.86038598891275
0.05,819,527.5238089435527
0.05,742,-299.04676462453244
0.05,197,421.6864705121185
0.05,1042,411.7009189108835
0.05,36,571.1674901576868
0.05,360,611.6688871345892
0.05,614,401.69522119662895
0.05,651,418.0542418522864
0.05,808,403.611887455614
0.05,866,969.9090747908747
0.05,501,765.3508553110809
0.05,685,473.4262195511901
0.05,637,193.51111184356137
0.05,158,567.4573450100652
0.05,470,773.4358644664185
0.05,556,536.3998924904877
0.05,829,-245.7309259844326
0.05,252,578.570564014527
0.05,1034,424.504392351863
0.05,797,390.16632711460295
0.05,488,619.57998081313
0.05,781,375.0685301555583
0.05,492,776.464074315543
0.05,139,424.88859583803605
0.05,758,-226.4252299497923
0.05,37,872.3540722194762
0.05,688,465.51512587265154
0.05,800,375.88135433385287
0.05,864,397.26198694401876
0.05,821,361.5844417132964
0.05,830,-42.326285162096156
0.05,606,538.1431945985173
0.05,385,622.7821061390492
0.05,35,-241.58769720006512
0.05,479,597.6945490930599
0.05,576,-158.85418956366698
0.05,41,707.5588850385242
0.05,555,366.6355846731917
0.05,189,578.2646854310188
0.05,328,-12.568740248982294
0.05,442,765.3508553110809
0.05,840,410.61336495700925
0.05,292,421.6864705121185
0.05,17,892.7080944969864
0.05,496,765.3508553110809
0.05,329,-6.301909479226197
0.05,309,424.5827172545271
0.05,421,773.2619489896219
0.05,440,622.7821061390492
0.05,839,539.2124058669272
0.05,9,1059.1683084475521
0.05,834,374.0605439058969
0.05,690,473.4262195511901
0.05,684,319.7442513746979
0.05,467,622.4762275555404
0.05,100,220.9348711242535
0.05,66,330.48076868547207
0.05,1068,152.9162283706114
0.05,463,611.6688871345892
0.05,112,884.6430020242926
0.05,353,765.3508553110809
0.05,246,578.570564014527
0.05,595,468.78016159883555
0.05,167,424.88859583803605
0.05,693,454.0446475544876
0.05,45,358.38030809751206
0.05,131,424.88859583803605
0.05,254,567.4573450100652
0.05,762,391.05753816287927
0.05,25,707.5588850385242
0.05,491,597.6945490930599
0.05,403,776.464074315543
0.05,541,619.57998081313
0.05,102,59.476601153788806
0.05,514,773.2619489896219
0.05,415,622.7821061390492
0.05,214,399.80103879204773
0.05,805,542.2749163825027
0.05,634,545.9194963924912
0.05,820,488.8320161739173
0.05,121,876.7319083457505
0.05,878,974.0368219397108
0.05,156,567.4573450100652
0.05,653,519.0142544296681
0.05,260,578.570564014527
0.05,384,773.2619489896219
0.05,609,-439.5112245630519
0.05,764,164.60662821684673
0.05,104,208.04339369433046
0.05,588,418.0542418522864
0.05,1039,424.3304768750635
0.05,799,369.5982227273123
0.05,122,884.8169175010885
0.05,780,383.61469399544774
0.05,590,409.9692326969513
0.05,858,438.3573855828229
0.05,336,118.74233064996542
0.05,645,-173.50210578761767
0.05,63,500.5217575176256
0.05,538,773.2619489896219
0.05,550,364.8512812582958
0.05,1015,835.038974068222
0.05,1071,303.0426493324212
0.05,94,67.25290294776619
0.05,213,575.3684386886094
0.05,865,1136.3945164083475
0.05,546,619.57998081313
0.05,230,421.6864705121185
0.05,345,-2.7463622645450414
0.05,127,417.7381586932297
0.05,379,611.6688871345892
0.05,283,413.7753768335755
0.05,1058,165.71970181159327
0.05,419,776.464074315543
0.05,71,-310.7792435114268
0.05,447,619.7538962899275
0.05,327,125.0308882867082
0.05,326,10.057111176433182
0.05,365,773.2619489896219
0.05,319,424.88859583803605
0.05,310,578.570564014527
0.05,187,421.86038598891275
0.05,438,619.7538962899275
0.05,663,421.0824517014138
0.05,93,70.44376515863814
0.05,994,490.9410957208057
0.05,56,327.28430186763455
0.05,132,571.4201268697173
0.05,666,557.9784957072026
0.05,391,619.7538962899275
0.05,40,186.38618870778055
0.05,277,571.4201268697173
0.05,641,-367.59525232760825
0.05,202,571.4201268697173
0.05,1013,846.4370316259835
0.05,618,-331.6594072186956
0.05,24,-277.3934877242382
0.05,54,-273.8496383095817
0.05,801,337.47291060916746
0.05,847,56.614310154456916
0.05,340,90.23976422555666
0.05,771,79.50970740939692
0.05,1023,821.0888489349495
0.05,1062,146.1642143380891
0.05,372,611.078169997785
0.25,459,1123.627901120976
0.25,995,721.7619219524934
0.25,432,954.0502160640765
0.25,288,770.8496299241673
0.25,23,1388.2253137941693
0.25,1073,511.7447748915861
0.25,579,614.5671088621347
0.25,516,961.847644840557
0.25,248,921.5674272453991
0.25,752,1559.731811853826
0.25,380,1111.3804932208252
0.25,382,1123.627901120976
0.25,1033,756.9524736867431
0.25,68,688.933537891765
0.25,554,778.7565854132447
0.25,250,767.8854590689077
0.25,92,493.6606367123718
0.25,236,767.8854590689077
0.25,239,925.734390819963
0.25,747,2127.828848848105
0.25,240,763.9541345395419
0.25,238,907.3901266985968
0.25,83,684.450198393038
0.25,845,851.8111743419388
0.25,85,425.51769791893616
0.25,560,839.8877081180251
0.25,464,1119.460937546411
0.25,210,767.8854590689077
0.25,623,1070.8491272356152
0.25,999,886.9157538532702
0.25,207,770.8496299241673
0.25,624,769.0321512817961
0.25,34,1868.6609476745957
0.25,448,957.6985250443342
0.25,602,828.9383941229607
0.25,642,718.1090475705885
0.25,746,1114.631104788981
