observations,centile,WM-hypointensities
696,0.05,-437.2720291200874
696,0.25,691.1373072097199
696,0.5,1475.4827982279053
696,0.75,2259.8282892460884
696,0.95,3388.2376255758963
698,0.05,-423.80683928983626
698,0.25,628.5130023217297
698,0.5,1359.9694838513774
698,0.75,2091.4259653810273
698,0.95,3143.7458069925897
699,0.05,-548.0898653100451
699,0.25,153.01373222675102
699,0.5,640.3434872722124
699,0.75,1127.673242317671
699,0.95,1828.7768398544665
700,0.05,-297.6619317175432
700,0.25,1059.0790558783758
700,0.5,2002.1354821585912
700,0.75,2945.1919084388114
700,0.95,4301.932896034736
701,0.05,-228.80325053249226
701,0.25,472.3003470042945
701,0.5,959.6301020497564
701,0.75,1446.9598570952157
701,0.95,2148.063454632007
702,0.05,-423.80683928983626
702,0.25,628.5130023217297
702,0.5,1359.9694838513774
702,0.75,2091.4259653810273
702,0.95,3143.7458069925897
703,0.05,-887.6503572947599
703,0.25,643.09775148957
703,0.5,1707.1047021186064
703,0.75,2771.1116527476433
703,0.95,4301.859761531991
704,0.05,-533.8355760261868
704,0.25,209.37717248508488
704,0.5,725.9765565863082
704,0.75,1242.575940687533
704,0.95,1985.7886891988064
707,0.05,-117.98541434254207
707,0.25,1010.4239219872645
707,0.5,1794.7694130054492
707,0.75,2579.114904023635
707,0.95,3707.524240353432
708,0.05,-297.6619317175432
708,0.25,1059.0790558783758
708,0.5,2002.1354821585912
708,0.75,2945.1919084388114
708,0.95,4301.932896034736
709,0.05,-423.80683928983626
709,0.25,628.5130023217297
709,0.5,1359.9694838513774
709,0.75,2091.4259653810273
709,0.95,3143.7458069925897
710,0.05,-507.9505006934246
710,0.25,284.4988565103308
710,0.5,835.322090749645
710,0.75,1386.1453249889596
710,0.95,2178.594682192712
712,0.05,-840.4202608734045
712,0.25,647.1601322609956
712,0.5,1681.1616566342461
712,0.75,2715.1631810074996
712,0.95,4202.743574141899
713,0.05,-449.3482287639574
713,0.25,461.8289664227012
713,0.5,1095.1786752152345
713,0.75,1728.5283840077636
713,0.95,2639.705579194424
714,0.05,-224.02344766714577
714,0.25,442.151352641058
714,0.5,905.2024671871014
714,0.75,1368.253581733145
714,0.95,2034.4283820413477
715,0.05,-423.80683928983626
715,0.25,628.5130023217297
715,0.5,1359.9694838513774
715,0.75,2091.4259653810273
715,0.95,3143.7458069925897
716,0.05,-297.6619317175432
716,0.25,1059.0790558783758
716,0.5,2002.1354821585912
716,0.75,2945.1919084388114
716,0.95,4301.932896034736
718,0.05,-840.4202608734045
718,0.25,647.1601322609956
718,0.5,1681.1616566342461
718,0.75,2715.1631810074996
718,0.95,4202.743574141899
719,0.05,-104.52022451229345
719,0.25,947.7996170992727
719,0.5,1679.2560986289227
