observations,centile,WM-hypointensities
0,0.05,1048.6647094465645
0,0.25,1391.2392928569461
0,0.5,1629.3592916769776
0,0.75,1867.4792904970072
0,0.95,2210.053873907388
1,0.05,1043.4820786908758
1,0.25,1409.6257890620236
1,0.5,1664.128440757864
1,0.75,1918.631092453701
1,0.95,2284.7748028248507
10,0.05,937.9887980087981
10,0.25,1377.0624038110614
10,0.5,1682.2578606797788
10,0.75,1987.4533175484958
10,0.95,2426.5269233507606
100,0.05,220.9348711242535
100,0.25,591.5728088403397
100,0.5,849.1993508126238
100,0.75,1106.8258927849083
100,0.95,1477.4638305009908
1000,0.05,513.3119929983486
1000,0.25,875.4438901289866
1000,0.5,1127.1579725311383
1000,0.75,1378.8720549332909
1000,0.95,1741.0039520639314
1001,0.05,359.6300248218548
1001,0.25,721.7619219524934
1001,0.5,973.4760043546462
1001,0.75,1225.1900867567992
1001,0.95,1587.3219838874388
1002,0.05,516.382356950261
1002,0.25,871.2332136607713
1002,0.5,1117.8863212556553
1002,0.75,1364.5394288505397
1002,0.95,1719.3902855610488
1004,0.05,510.12113078747393
1004,0.25,880.7590685035555
1004,0.5,1138.3856104758404
1004,0.75,1396.0121524481242
1004,0.95,1766.650090164208
1005,0.05,352.8711823240169
1005,0.25,733.23378567678
1005,0.5,997.6198407071511
1005,0.75,1262.0058957375227
1005,0.95,1642.3684990902839
1008,0.05,548.7920196667616
1008,0.25,1212.3599616642723
1008,0.5,1673.599076348315
1008,0.75,2134.838191032358
1008,0.95,2798.406133029871
1009,0.05,810.1216849301035
1009,0.25,1201.4250994190252
1009,0.5,1473.415997485029
1009,0.75,1745.4068955510327
1009,0.95,2136.7103100399568
101,0.05,93.06961658405612
101,0.25,431.0142453384626
101,0.5,665.9160112521239
101,0.75,900.8177771657859
101,0.95,1238.7624059201921
1010,0.05,700.96737739546
1010,0.25,1244.4845940303546
1010,0.5,1622.27770902257
1010,0.75,2000.070824014781
1010,0.95,2543.5880406496763
1011,0.05,805.0065092941493
1011,0.25,1208.4663416287472
1011,0.5,1488.907038200672
1011,0.75,1769.3477347725993
1011,0.95,2172.8075671071974
1013,0.05,846.4370316259835
1013,0.25,1185.8084489109985
1013,0.5,1421.701960563187
1013,0.75,1657.5954722153758
1013,0.95,1996.9668895003938
