centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,229,541.2798091097645,2827.2165679478567,1344.079944593024,431485.8239376548
0.05,143,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,872,1112.7033622763906,3224.647101032645,1388.2037636282519,407680.1842798982
0.05,176,636.9328001801262,2986.349270762517,1489.5049326358458,479563.22247537295
0.05,983,666.715192677214,2832.281985578704,1335.6167490462612,439893.18082418933
0.05,912,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,177,540.5442432350615,2822.198802289489,1351.2507853042073,430727.40161976515
0.05,573,618.0236239609807,2892.8853048807714,1430.638755748591,391222.9042582018
0.05,743,1101.9730415376425,3639.5024039236414,1411.160166099263,426660.3354576368
0.05,266,540.5442432350615,2822.198802289489,1351.2507853042073,430727.40161976515
0.05,40,848.3082482590547,2820.383409105737,1048.8872109171853,354847.63543782005
0.05,76,609.5265591710327,3129.1445807131063,1387.8933327387363,437327.17208592
0.05,696,403.05603957776384,3058.0628338658125,1301.3769636074478,382455.4924842221
0.05,303,540.6280121706993,2811.7869392173784,1351.5691203305257,430092.1341050527
0.05,498,754.7738628653634,2504.3237249741874,1405.6103434421882,405679.08446048666
0.05,415,754.8512074185056,2513.3535709073,1405.3303785363717,405466.2674691963
0.05,802,495.6048657284143,2255.987490282944,1104.9357734655543,376464.73160552635
0.05,728,556.4637175757723,3472.3313329390426,1406.1197796694023,412746.86550576735
0.05,1015,733.6393713951312,2676.7916307041596,1051.5319762064732,401867.1936294249
0.05,92,383.09288443406535,2900.680359096058,1195.8982485000274,393921.87810726
0.05,114,788.1410331327155,3270.304337125439,1585.060307761907,436493.85193889297
0.05,750,853.8574425328046,2879.738663026649,1327.5924661000179,391486.36016997637
0.05,929,666.715192677214,2832.281985578704,1335.6167490462612,439893.18082418933
0.05,203,634.5321881697134,3001.817389846731,1504.812182742931,466826.17470119544
0.05,381,757.2218617558609,2514.100117480888,1392.9739973218925,403011.925812381
0.05,22,1055.456601747567,2888.4867728523463,1279.9885775389607,460549.3456368722
0.05,184,541.2798091097645,2827.2165679478567,1344.079944593024,431485.8239376548
0.05,97,353.9209039442777,2838.859845223668,1345.7848880212762,413125.18060330854
0.05,817,494.63179957441645,2831.7034597919205,1355.638358863757,419563.65706975205
0.05,262,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,529,843.2172527801691,2643.457012967523,1547.6483179038069,440499.97245805775
0.05,126,769.5465443685407,3279.283687162959,1590.5262856388802,447272.1625007111
0.05,758,595.7757051296063,2428.5720739678522,1256.4747999227297,484999.1265721841
0.05,1029,481.5848612446207,2864.397493999712,1430.0980334574901,437140.27608040604
0.05,863,515.9827707758448,3411.405754499981,1506.2947266444162,464182.90728929226
0.05,788,589.2294280792993,3034.072611384813,1522.1922702140087,519146.1344106878
0.05,3,1080.8583543546872,3009.359617538613,1269.04679876316,436610.4478373958
0.05,125,769.9188831543366,3276.4762121077765,1590.2098998422134,449467.8028547049
0.05,119,772.9047692802476,3249.4993940406166,1584.3198468554901,454023.0479567273
0.05,579,470.3141067762502,2936.1591345380766,1464.2138570804868,380161.5328853915
0.05,657,321.8521808337863,3129.91417970254,1338.3840065473992,400418.3176620429
0.05,718,314.13521069897286,3276.1448321934345,1370.1837011051393,376675.6749783533
0.05,267,636.9328001801262,2986.349270762517,1489.5049326358458,479563.22247537295
0.05,706,308.75565163772717,3313.5869347465027,1370.6618140194357,375329.7603054349
0.05,898,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,1076,381.6196479813203,2891.7860142665863,1379.1668574042683,434845.3872979957
0.05,941,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,32,848.1377459474899,3403.9538170883366,1222.7388214691725,355081.46425107896
0.05,191,541.1529850593039,2798.686327849634,1350.0348528347556,429342.8937110483
0.05,558,559.1179603859413,2827.6649340257986,1489.6695585228167,409300.0196903269
0.05,385,754.8512074185056,2513.3535709073,1405.3303785363717,405466.2674691963
0.05,963,784.6559573950079,3074.867776992105,1474.409855872792,481846.7386736183
0.05,56,520.9891924234628,2868.0381461627107,1201.7137001603278,403127.5557785459
0.05,448,755.1946890362946,2493.486305660448,1404.3834132098298,405660.69419957936
0.05,307,634.56173320516,3008.177833086626,1504.4822424043903,469735.3733274654
0.05,429,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,110,853.9168980831996,3318.7594075359852,1567.7006109299305,424374.71141090075
0.05,530,841.7923612094257,2655.3674833695536,1553.7366538427148,439438.90620906674
0.05,523,754.8512074185056,2513.3535709073,1405.3303785363717,405466.2674691963
0.05,165,540.5442432350615,2822.198802289489,1351.2507853042073,430727.40161976515
0.05,625,327.21989095816537,3087.2976282381824,1329.0990649653875,401225.16094081226
0.05,991,501.44721170238563,2778.3813494556007,1242.7724292392631,406284.85546470014
0.05,896,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,387,840.2650742481368,2644.3398029545824,1558.561145875873,433952.01097838726
0.05,453,755.1946890362946,2493.486305660448,1404.3834132098298,405660.69419957936
0.05,672,609.1912838859052,3241.7142471689895,1518.7431570029953,471680.26690535416
0.05,215,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,919,784.6559573950079,3074.867776992105,1474.409855872792,481846.7386736183
0.05,598,480.9769955452157,3098.4656427422274,1520.7019498102286,465826.62712343445
0.05,37,815.5835778326601,2975.315435959934,1262.7127986168214,404178.7285168016
0.05,668,610.7833234309068,3241.5460090708348,1516.07860417415,462607.11891396286
0.05,851,425.22854111683625,3041.940019107582,1388.9555016264264,431849.1839516855
0.05,478,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,255,540.5442432350615,2822.198802289489,1351.2507853042073,430727.40161976515
0.05,505,756.1578652051953,2519.737891866787,1399.297447524133,404183.0213111285
0.05,404,754.7738628653634,2504.3237249741874,1405.6103434421882,405679.08446048666
0.05,691,519.6173678847052,3351.4595416973243,1633.669079225212,474039.9463163642
0.05,736,473.68569254473334,3824.682481169059,1437.6835467051178,408171.29896852945
0.05,94,360.7159683982998,2833.6375159328168,1320.368576883369,409630.2622620188
0.05,321,634.5321881697134,3001.817389846731,1504.812182742931,466826.17470119544
0.05,854,584.6566005577371,3512.7161669166458,1445.2563338846871,443503.92702337896
0.05,988,536.603626557069,2790.589815000432,1136.2601823238053,395475.4452969007
0.05,609,321.8521808337863,3129.91417970254,1338.3840065473992,400418.3176620429
0.05,350,249.70082247297478,3247.4546904571976,1482.1153140602212,474393.2819015247
0.05,379,756.1578652051953,2519.737891866787,1399.297447524133,404183.0213111285
0.05,116,769.9188831543366,3276.4762121077765,1590.2098998422134,449467.8028547049
0.05,1074,444.5077303453692,3173.425395044832,1552.738723504816,482333.9079921014
0.05,484,843.2172527801691,2643.457012967523,1547.6483179038069,440499.97245805775
0.05,118,772.9047692802476,3249.4993940406166,1584.3198468554901,454023.0479567273
0.05,246,634.56173320516,3008.177833086626,1504.4822424043903,469735.3733274654
0.05,395,841.3056517489609,2635.2942321763207,1557.157741688497,432520.3630118091
0.05,819,592.3196809101837,3108.7572163823943,1548.7309454415595,462235.1245884789
0.05,251,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,131,540.5442432350615,2822.198802289489,1351.2507853042073,430727.40161976515
0.05,734,427.4822203412907,3044.6661073456867,1272.846446631293,383079.58149839664
0.05,676,610.7833234309068,3241.5460090708348,1516.07860417415,462607.11891396286
0.05,957,785.063931248695,3072.9026527743217,1474.0531108808518,485848.32110958046
0.05,746,1101.9730415376425,3639.5024039236414,1411.160166099263,426660.3354576368
0.05,213,635.0385321625886,3009.0444407297105,1502.1849029766968,472858.32637883903
0.05,617,440.8921296587836,3077.1631711071404,1546.7683144960988,482211.08776789915
0.05,414,754.7738628653634,2504.3237249741874,1405.6103434421882,405679.08446048666
0.05,312,634.5321881697134,3001.817389846731,1504.812182742931,466826.17470119544
0.05,58,534.3923640959167,3650.0977835995063,1317.286689118781,395905.47350794513
0.05,682,522.9893208395629,3344.7771830754955,1632.7834077062314,463445.71248357825
0.05,699,475.1571418281282,3027.0532841939894,1208.3646853264536,385793.031542243
0.05,597,356.902292060038,2797.7834324414894,1361.3320477972106,437707.74667797686
0.05,167,540.5442432350615,2822.198802289489,1351.2507853042073,430727.40161976515
0.05,926,784.6559573950079,3074.867776992105,1474.409855872792,481846.7386736183
0.05,686,440.0864659126354,3036.842435477368,1456.751099507007,430368.7152484382
0.05,811,590.5962024217371,3111.2942876468287,1549.6281349248643,464130.4090195384
0.05,315,540.5442432350615,2822.198802289489,1351.2507853042073,430727.40161976515
0.05,555,583.8481000820323,2832.0031009841214,1469.5842181446346,403415.1198530031
0.05,482,755.1946890362946,2493.486305660448,1404.3834132098298,405660.69419957936
0.05,235,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,238,638.1737691599225,2970.5694897051776,1498.3229202309312,459501.6455302994
0.05,282,634.5321881697134,3001.817389846731,1504.812182742931,466826.17470119544
0.05,621,508.57864300251686,3129.8397867708545,1480.8159250333401,461488.1338444448
0.05,928,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,380,840.2650742481368,2644.3398029545824,1558.561145875873,433952.01097838726
0.05,655,3411.4304834504633,5620.309093759606,1102.7511298519814,359931.1091889398
0.05,566,599.3572345560424,3377.8325008789225,1619.2973723030786,403198.05299959803
0.05,489,754.8512074185056,2513.3535709073,1405.3303785363717,405466.2674691963
0.05,906,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,12,913.1221908745265,2675.054445389511,1185.5721294268096,411611.683241172
0.05,908,785.063931248695,3072.9026527743217,1474.0531108808518,485848.32110958046
0.05,1009,777.6786231323861,2658.928111242018,974.3137763083539,395335.7106677105
0.05,338,251.84462269981748,3256.502751351257,1467.489757399425,469020.5835407835
0.05,1034,476.8566468090359,2899.4122561065583,1438.8536154504923,440940.3029199996
0.05,910,785.063931248695,3072.9026527743217,1474.0531108808518,485848.32110958046
0.05,713,439.05365448798426,3040.312731581598,1258.0480073167741,383441.6258559634
0.05,494,840.0469597458539,2658.306711989458,1559.068747284975,436813.4102858134
0.05,975,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,216,635.0385321625886,3009.0444407297105,1502.1849029766968,472858.32637883903
0.05,1005,517.4309133127184,2771.263571623814,1196.8282860337602,401576.52632376493
0.05,11,1037.4126278220917,2973.7944061307326,1312.5717245893907,459226.3588832346
0.05,452,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,212,541.2798091097645,2827.2165679478567,1344.079944593024,431485.8239376548
0.05,46,817.2414993916335,2977.807786764013,1259.1331230067274,405234.24977889506
0.05,571,470.3141067762502,2936.1591345380766,1464.2138570804868,380161.5328853915
0.05,649,1011.9799536578498,3964.7882444212764,1152.4633281574222,358683.76418490143
