centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,229,357.7707001969038,946.5864308929249,1305.6942671665308,429042.0912192674
0.05,143,369.122160026743,995.3058278686358,1311.2582347398582,426755.4653003319
0.05,872,1162.4194815443086,2416.913252573876,1445.631822258028,418016.6637270434
0.05,176,506.6837079414213,2169.5186978617603,1528.6231352146692,482709.131141876
0.05,983,652.0518215966866,1266.6464049635406,1289.2140634903103,438391.6188263454
0.05,912,657.730249613581,1272.002213966838,1289.5669115893763,436175.3032946118
0.05,177,377.3259830653634,1021.7758513406143,1313.8612944035194,424504.07037714333
0.05,573,168.08376405226795,-326.83380106506775,1472.5673997331387,368009.9221470855
0.05,743,-444.79134578491244,3850.34460724976,1467.5839745957292,431034.93648164417
0.05,266,377.3259830653634,1021.7758513406143,1313.8612944035194,424504.07037714333
0.05,40,247.2632694429376,1755.6670486913526,784.5091096300988,291610.10198845353
0.05,76,471.3887311639454,2242.237611312228,1502.8968586160454,447682.8307405432
0.05,696,-393.4869850478135,778.9911198364553,1292.0772455341216,372900.54178422515
0.05,303,383.004411082257,1027.13166034391,1314.2141425025861,422287.75484541006
0.05,498,564.3735856086225,967.46381978102,1353.665180312948,391802.0336452487
0.05,415,558.6951575917311,962.1080107777252,1353.3123322138827,394018.3491769815
0.05,802,-476.4427659570099,-1439.7949227977115,836.8488600990182,456221.49536591733
0.05,728,-130.7747918385328,1751.0159772144843,1528.525343625694,424410.5440035664
0.05,1015,644.3057979998732,1085.733827656155,1087.3454611372244,389796.92247615167
0.05,92,-126.52228230894207,-172.6224726480932,1304.996855687177,382144.2251996435
0.05,114,766.7515264053625,2240.4809447689076,1633.9753037735713,442641.97947245836
0.05,750,-619.4226567634701,2739.495908046465,1198.7301550971736,375497.6274615243
0.05,929,652.0518215966866,1266.6464049635406,1289.2140634903103,438391.6188263454
0.05,203,547.1703777652459,2321.964603303807,1546.3895162637657,473636.0413832045
0.05,381,523.886915784795,815.0179143389814,1335.8987992638527,400875.1234039202
0.05,22,1027.6208572328321,1891.6501710101384,1292.4067112651296,468650.6152905714
0.05,184,357.7707001969038,946.5864308929249,1305.6942671665308,429042.0912192674
0.05,97,20.401157628015426,962.0870748982525,1275.0113312217486,404153.4814502432
0.05,817,248.53880543339233,661.3938770557652,1295.7418024434326,445972.9761890402
0.05,262,369.122160026743,995.3058278686358,1311.2582347398582,426755.4653003319
0.05,529,688.0528824677879,2109.8508572988558,1568.074173025031,452223.4099417147
0.05,126,762.0264088909804,2551.3079288470744,1642.086186811798,455298.4237277021
0.05,758,-66.00915277491981,434.49359342908974,1206.9205932741618,508198.94566603564
0.05,1029,341.52675207473874,993.9181336359206,1348.6536222348604,426435.0437327759
0.05,863,432.5064081708957,2511.975928914706,1543.3651250095497,468633.8719844625
0.05,788,430.3991534355282,2035.610638429489,1540.986292609502,495961.9241266892
0.05,3,1138.8286816394864,1775.6745751035214,1363.010407801767,433330.49658396567
