observations,r1,r2
0,-0.8500087778534672,0.5926553194426486
1,0.46207254526950564,0.5007604581486357
10,0.8988320133023441,-1.1021122940065342
100,-1.461710260648476,1.8197440137489864
1000,-0.27832322107555996,-1.288815124006785
10000,,
10001,,
10002,,
10003,,
10004,,
10005,,
10006,,
10007,,
10008,,
10009,,
1001,-0.3373190861245261,-0.41528225365379146
10010,,
10011,,
10012,,
10013,,
10014,,
10015,,
10016,,
10017,,
10018,,
10019,,
1002,0.5355865873598045,-0.23219342453439484
10020,,
10021,,
10022,,
10023,,
10024,,
10025,,
10026,,
10027,,
10028,,
10029,,
1003,2.1607627883908362,1.173289624806241
10030,,
10031,,
10032,,
10033,,
10034,,
10035,,
10036,,
10037,,
10038,,
10039,,
1004,-0.8535488380357824,0.023921516894524767
10040,,
10041,,
10042,,
10043,,
10044,,
10045,,
10046,,
10047,,
10048,,
10049,,
1005,0.3092496507134507,-1.2485905291349155
10050,,
10051,,
10052,,
10053,,
10054,,
10055,,
10056,,
10057,,
10058,,
10059,,
1006,-0.4973766629738403,0.46063595474839564
10060,,
10061,,
10062,,
10063,,
10064,,
10065,,
10066,,
10067,,
10068,,
10069,,
1007,0.27023046376063037,0.08891082522321549
10070,,
10071,,
10072,,
10073,,
10074,,
10075,,
10076,,
10077,,
10078,,
10079,,
1008,-0.780787444332032,-1.4432675278272242
10080,,
10081,,
10082,,
10083,,
10084,,
10085,,
10086,,
10087,,
10088,,
10089,,
1009,1.2081117754334767,0.24555076905701817
10090,,
10091,,
10092,,
10093,,
10094,,
10095,,
10096,,
10097,,
10098,,
10099,,
101,0.17519302015436414,-0.07717143264072006
1010,-0.049541440877299475,-0.06533726974714402
10100,,
10101,,
10102,,
10103,,
10104,,
10105,,
10106,,
10107,,
10108,,
10109,,
1011,0.10828548556923127,2.176594159555392
10110,,
10111,,
10112,,
10113,,
10114,,
10115,,
10116,,
10117,,
10118,,
10119,,
1012,1.5295428857570177,-0.2931535748000719
10120,,
10121,,
10122,,
10123,,
10124,,
10125,,
10126,,
10127,,
10128,,
10129,,
1013,-0.7247120557610784,-0.7500161527028945
10130,,
10131,,
10132,,
10133,,
10134,,
10135,,
10136,,
10137,,
10138,,
10139,,
1014,0.7731322679803396,-0.16066478946958915
10140,,
10141,,
10142,,
10143,,
10144,,
10145,,
10146,,
10147,,
10148,,
10149,,
1015,-0.41640911005863135,-1.3122689064902153
10150,,
10151,,
10152,,
10153,,
10154,,
10155,,
10156,,
10157,,
10158,,
10159,,
1016,1.1171753185654896,0.4915998910826367
10160,,
10161,,
10162,,
10163,,
10164,,
10165,,
10166,,
10167,,
10168,,
10169,,
1017,1.6703511818467942,0.9920547449182125
10170,,
10171,,
10172,,
10173,,
10174,,
10175,,
10176,,
10177,,
10178,,
10179,,
1018,-0.5118249407468997,2.138510841088901
10180,,
10181,,
10182,,
10183,,
10184,,
10185,,
10186,,
10187,,
10188,,
10189,,
1019,-2.0912858835810333,-1.2350183767509204
10190,,
10191,,
10192,,
10193,,
10194,,
10195,,
10196,,
10197,,
10198,,
10199,,
102,0.12625654592966742,-0.5738845272999012
1020,0.2261543124794818,0.7116692737134305
10200,,
10201,,
10202,,
10203,,
10204,,
10205,,
10206,,
10207,,
10208,,
10209,,
1021,2.2944414203665953,-0.030741476755218003
10210,,
10211,,
10212,,
10213,,
10214,,
10215,,
10216,,
10217,,
10218,,
10219,,
1022,-0.8863845504255202,0.9177001775126067
10220,,
10221,,
10222,,
10223,,
10224,,
10225,,
10226,,
10227,,
10228,,
10229,,
1023,1.7210450644593884,0.8243053552161599
10230,,
10231,,
10232,,
10233,,
10234,,
10235,,
10236,,
10237,,
10238,,
10239,,
1024,-0.2768442998762545,0.6315952922347078
10240,,
10241,,
10242,,
10243,,
10244,,
10245,,
10246,,
10247,,
10248,,
10249,,
1025,-1.2582123907087202,-1.1677793604561433
10250,,
10251,,
10252,,
10253,,
10254,,
10255,,
10256,,
10257,,
10258,,
10259,,
