observations,r1,r2
0,-0.6748773391177104,-0.09501223198898995
1,-0.4200539425275076,-0.04445103753573529
10,-0.7172721171784208,-0.5264204703954989
100,-1.3816210661523662,-1.5748288538829618
1000,-0.3520303316765254,-0.749592731247432
10000,,
10001,,
10002,,
10003,,
10004,,
10005,,
10006,,
10007,,
10008,,
10009,,
1001,-0.3703324999341925,-0.005442241234810616
10010,,
10011,,
10012,,
10013,,
10014,,
10015,,
10016,,
10017,,
10018,,
10019,,
1002,-0.45679084945926146,0.05390666017694174
10020,,
10021,,
10022,,
10023,,
10024,,
10025,,
10026,,
10027,,
10028,,
10029,,
1003,-2.6477705369571196,-0.6073989879343111
10030,,
10031,,
10032,,
10033,,
10034,,
10035,,
10036,,
10037,,
10038,,
10039,,
1004,-0.6776371626355179,0.08057743389017907
10040,,
10041,,
10042,,
10043,,
10044,,
10045,,
10046,,
10047,,
10048,,
10049,,
1005,-0.36114870171167535,-0.6985923024038962
10050,,
10051,,
10052,,
10053,,
10054,,
10055,,
10056,,
10057,,
10058,,
10059,,
1006,-0.43698353077571495,-0.02515660022717478
10060,,
10061,,
10062,,
10063,,
10064,,
10065,,
10066,,
10067,,
10068,,
10069,,
1007,-0.3498106757537306,0.07697691326594386
10070,,
10071,,
10072,,
10073,,
10074,,
10075,,
10076,,
10077,,
10078,,
10079,,
1008,-0.6182549336155228,-0.9607231445751785
10080,,
10081,,
10082,,
10083,,
10084,,
10085,,
10086,,
10087,,
10088,,
10089,,
1009,-1.0432884234020723,0.05055884918038224
10090,,
10091,,
10092,,
10093,,
10094,,
10095,,
10096,,
10097,,
10098,,
10099,,
101,-0.32886768958696233,0.07772872426471818
1010,-0.3147485696136581,0.07857195986362324
10100,,
10101,,
10102,,
10103,,
10104,,
10105,,
10106,,
10107,,
10108,,
10109,,
1011,-0.3191939016709618,-2.2878842153865144
10110,,
10111,,
10112,,
10113,,
10114,,
10115,,
10116,,
10117,,
10118,,
10119,,
1012,-1.4833705975886904,0.03763842263381331
10120,,
10121,,
10122,,
10123,,
10124,,
10125,,
10126,,
10127,,
10128,,
10129,,
1013,-0.5761251743142828,-0.20055567538499697
10130,,
10131,,
10132,,
10133,,
10134,,
10135,,
10136,,
10137,,
10138,,
10139,,
1014,-0.612461427833862,0.06772662512660854
10140,,
10141,,
10142,,
10143,,
10144,,
10145,,
10146,,
10147,,
10148,,
10149,,
1015,-0.4000208965797587,-0.7801195575658388
10150,,
10151,,
10152,,
10153,,
10154,,
10155,,
10156,,
10157,,
10158,,
10159,,
1016,-0.9373321045461699,-0.03989908527992189
10160,,
10161,,
10162,,
10163,,
10164,,
10165,,
10166,,
10167,,
10168,,
10169,,
1017,-1.708339162235465,-0.41116104378521745
10170,,
10171,,
10172,,
10173,,
10174,,
10175,,
10176,,
10177,,
10178,,
10179,,
1018,-0.44430500809513174,-2.205709024822706
10180,,
10181,,
10182,,
10183,,
10184,,
10185,,
10186,,
10187,,
10188,,
10189,,
1019,-2.500030081772871,-0.6816990542799309
10190,,
10191,,
10192,,
10193,,
10194,,
10195,,
10196,,
10197,,
10198,,
10199,,
102,-0.32129298080489316,-0.08376644143244186
1020,-0.338996496327711,-0.17243228408488254
10200,,
10201,,
10202,,
10203,,
10204,,
10205,,
10206,,
10207,,
10208,,
10209,,
1021,-2.9455617442254187,0.08042433312226226
10210,,
10211,,
10212,,
10213,,
10214,,
10215,,
10216,,
10217,,
10218,,
10219,,
1022,-0.7061614087263739,-0.3401815239986612
10220,,
10221,,
10222,,
10223,,
10224,,
10225,,
10226,,
10227,,
10228,,
10229,,
1023,-1.7943006838369844,-0.2588143946468674
10230,,
10231,,
10232,,
10233,,
10234,,
10235,,
10236,,
10237,,
10238,,
10239,,
1024,-0.3516240100739606,-0.11853104191437053
10240,,
10241,,
10242,,
10243,,
10244,,
10245,,
10246,,
10247,,
10248,,
10249,,
1025,-1.104972819867654,-0.6010500238646612
10250,,
10251,,
10252,,
10253,,
10254,,
10255,,
10256,,
10257,,
10258,,
10259,,
1026,-0.6708941574038855,-0.31235791648546146
10260,,
10261,,
10262,,
10263,,
10264,,
10265,,
10266,,
10267,,
10268,,
10269,,
1027,-0.9062953588858336,-1.221277622124322
10270,,
10271,,
10272,,
10273,,
10274,,
10275,,
10276,,
10277,,
10278,,
10279,,
1028,-0.6415235402522476,-4.594647197207554
10280,,
10281,,
10282,,
10283,,
10284,,
10285,,
10286,,
10287,,
10288,,
10289,,
1029,-0.3144228008457333,0.05554379184313615
10290,,
10291,,
10292,,
10293,,
10294,,
10295,,
10296,,
10297,,
10298,,
10299,,
103,-0.43526391176381674,-0.06025059117087664
1030,-1.2027968381345049,0.06452383891810311
10300,,
10301,,
10302,,
10303,,
10304,,
10305,,
10306,,
10307,,
10308,,
10309,,
1031,-0.7455885473302964,0.024189298021610912
10310,,
10311,,
10312,,
10313,,
10314,,
10315,,
10316,,
10317,,
10318,,
10319,,
1032,-1.329452504650147,-0.253986182783909
10320,,
10321,,
10322,,
10323,,
10324,,
10325,,
10326,,
10327,,
10328,,
10329,,
1033,-0.600943017760375,-0.9434202946379419
10330,,
10331,,
10332,,
10333,,
10334,,
10335,,
10336,,
10337,,
10338,,
10339,,
1034,-1.559508845437368,0.001554516217662047
10340,,
10341,,
10342,,
10343,,
10344,,
10345,,
10346,,
10347,,
10348,,
10349,,
1035,-0.6731271195381079,-0.9657190319058416
10350,,
10351,,
10352,,
10353,,
10354,,
10355,,
10356,,
10357,,
10358,,
10359,,
1036,-0.31639106217716095,0.05622409771344615
10360,,
10361,,
10362,,
10363,,
10364,,
10365,,
10366,,
10367,,
10368,,
10369,,
1037,-0.3156072986565426,0.05256595129457662
10370,,
10371,,
10372,,
10373,,
10374,,
10375,,
10376,,
10377,,
10378,,
10379,,
1038,-1.53206037892175,-0.6292926083408599
10380,,
10381,,
10382,,
10383,,
10384,,
10385,,
10386,,
10387,,
10388,,
10389,,
1039,-1.509432244525548,-0.38629953838588066
10390,,
10391,,
10392,,
10393,,
10394,,
10395,,
10396,,
10397,,
10398,,
10399,,
104,-1.5710286497212445,0.07620564365786311
1040,-1.1028738681893029,0.07558434738885667
10400,,
10401,,
10402,,
10403,,
10404,,
10405,,
10406,,
10407,,
10408,,
10409,,
1041,-0.49822552917234864,-1.4684720701436156
10410,,
10411,,
10412,,
10413,,
10414,,
10415,,
10416,,
10417,,
10418,,
10419,,
1042,-0.3475138030708472,0.08090515529349808
10420,,
10421,,
10422,,
10423,,
10424,,
10425,,
10426,,
10427,,
10428,,
10429,,
1043,-0.33927426342965655,-0.47427340010969976
10430,,
10431,,
10432,,
10433,,
10434,,
10435,,
10436,,
10437,,
10438,,
10439,,
1044,-0.3335161747956212,-1.8660343357121216
10440,,
10441,,
10442,,
10443,,
10444,,
10445,,
10446,,
10447,,
10448,,
10449,,
1045,-0.7612980339180024,-0.7067341918232077
10450,,
10451,,
10452,,
10453,,
10454,,
10455,,
10456,,
10457,,
10458,,
10459,,
1046,-0.335799530204258,0.08047617379854273
10460,,
10461,,
10462,,
10463,,
10464,,
10465,,
10466,,
10467,,
10468,,
10469,,
1047,-0.31925161042046124,-0.4183060109109205
10470,,
